Date,Time,To,Airlines,Flight No.,Remarks
2016/01/12,06:00,GENEVA,TNT AIRWAY ,3V78 ,Cargo
2016/01/12,06:10,PARIS-ORY,AIR FRANCE,AF7331,Civil
2016/01/12,06:20,HAMBURG,EASYJET CH ,DS1023 ,Civil
2016/01/12,06:25,MUNICH,LUFTHANSA ,LH2403 ,Civil
2016/01/12,06:50,BERLIN-SXF,EASYJET CH ,DS4632 ,Civil
2016/01/12,06:50,LONDON-LCY,SKY WORK ,SX520 ,Civil
2016/01/12,06:55,PARIS-CDG,AIR FRANCE ,AF1093 ,Civil
2016/01/12,07:00,LONDON-LHR,BRITISH AW ,BA751 ,Civil
2016/01/12,07:05,AMSTERDAM,KLM,KL1984,Civil
2016/01/12,07:10,SANTIAGO,EASYJET CH ,DS1179 ,Civil
2016/01/12,07:40,FRANKFURT,LUFTHANSA ,LH1211 ,Civil
2016/01/12,08:05,BRUSSELS,SWISS ,SN2702,Civil
2016/01/12,08:40,BARCELONA,EASYJET GB ,U21075 ,Civil
2016/01/12,08:55,DÜSSELDORF,EUROWINGS ,EW1721 ,Civil
2016/01/12,09:15,PRISTINA,FARNER JGH ,JGH62 ,Civil
2016/01/12,09:30,MUNICH,LUFTHANSA ,LH2395 ,Civil
2016/01/12,10:05,PARIS-ORY,AIR FRANCE ,AF7337 ,Civil
2016/01/12,10:15,LONDON-STN,RYANAIR ,FR7974 ,Civil
2016/01/12,10:25,VIENNA,AUSTRIAN,OS472 ,Civil
2016/01/12,10:45,PARIS-CDG,AIR FRANCE,AF1193 ,Civil
2016/01/12,10:50,CASABLANCA,AIR ARABIA ,3O266 ,Civil
2016/01/12,10:50,FRANKFURT,LUFTHANSA ,LH1203 ,Civil
2016/01/12,11:00,AMSTERDAM,KLM ,KL1986 ,Civil
2016/01/12,11:05,BERNE,SKY WORK ,SX521 ,Civil
2016/01/12,11:05,PORTO,EASYJET GB ,U21131 ,Civil
2016/01/12,11:10,LONDON-LHR,BRITISH AW ,BA753 ,Civil
2016/01/12,11:15,PALMA,EASYJET CH ,DS1057 ,Civil
2016/01/12,12:00,ISTANBUL,TURKISH AL ,TK1924 ,Civil
2016/01/12,12:25,TENERIFE,EASYJET CH ,DS1225 ,Civil
2016/01/12,12:50,MUNICH,LUFTHANSA ,LH2397 ,Civil
2016/01/12,14:05,ISTANBUL-SAW,PEGASUS ,PC626 ,Civil
2016/01/12,14:40,PARIS-CDG,AIR FRANCE ,AF1293 ,Civil
2016/01/12,14:50,FRANKFURT,LUFTHANSA ,LH1205 ,Civil
2016/01/12,15:00,BERLIN-SXF,EASYJET CH ,DS4636 ,Civil
2016/01/12,15:10,LONDON-LHR,BRITISH AW ,BA755 ,Civil
2016/01/12,16:45,MUNICH,LUFTHANSA ,LH2399 ,Civil
